Location,Rainfall (inches),Date,YEAR,MONTH,DAY
Tatooine,0.03,20100731,2010,7,31
Tatooine,0,20100801,2010,8,1
Tatooine,0,20100802,2010,8,2
Tatooine,0.04,20100803,2010,8,3
Tatooine,0,20100804,2010,8,4
Tatooine,0,20100805,2010,8,5
Tatooine,0,20100806,2010,8,6
Tatooine,0.02,20100807,2010,8,7
Tatooine,0.1,20100808,2010,8,8
Tatooine,0.04,20100809,2010,8,9
Tatooine,0.03,20100810,2010,8,10
Tatooine,0.08,20100811,2010,8,11
Tatooine,0.01,20100812,2010,8,12
Tatooine,0,20100813,2010,8,13
Tatooine,0.03,20100814,2010,8,14
Tatooine,0.05,20100815,2010,8,15
Tatooine,0,20100816,2010,8,16
Tatooine,0,20100817,2010,8,17
Tatooine,0,20100818,2010,8,18
Tatooine,0.01,20100819,2010,8,19
Tatooine,0.06,20100820,2010,8,20
Tatooine,0,20100821,2010,8,21
Tatooine,0.0,20100822,2010,8,22
Tatooine,0.07,20100823,2010,8,23
Tatooine,0,20100824,2010,8,24
Tatooine,0.06,20100825,2010,8,25
Tatooine,0,20100826,2010,8,26
Tatooine,0,20100827,2010,8,27
Tatooine,0.07,20100828,2010,8,28
Tatooine,0.09,20100829,2010,8,29
Tatooine,0,20100830,2010,8,30
Tatooine,0.04,20100831,2010,8,31
Tatooine,0.09,20100901,2010,9,1
Tatooine,0.06,20100902,2010,9,2
Tatooine,0,20100903,2010,9,3
Tatooine,0.07,20100904,2010,9,4
Tatooine,0,20100905,2010,9,5
Tatooine,0,20100906,2010,9,6
Tatooine,0.04,20100907,2010,9,7
Tatooine,0.01,20100908,2010,9,8
Tatooine,0.09,20100909,2010,9,9
Tatooine,0,20100910,2010,9,10
Tatooine,0.01,20100911,2010,9,11
Tatooine,0.09,20100912,2010,9,12
Tatooine,0.07,20100913,2010,9,13
Tatooine,0.05,20100914,2010,9,14
Tatooine,0.01,20100915,2010,9,15
Tatooine,0.09,20100916,2010,9,16
Tatooine,0.07,20100917,2010,9,17
Tatooine,0.04,20100918,2010,9,18
Tatooine,0.0,20100919,2010,9,19
Tatooine,0.07,20100920,2010,9,20
Tatooine,0,20100921,2010,9,21
Tatooine,0,20100922,2010,9,22
Tatooine,0.1,20100923,2010,9,23
Tatooine,0.03,20100924,2010,9,24
Tatooine,0.04,20100925,2010,9,25
Tatooine,0,20100926,2010,9,26
Tatooine,0,20100927,2010,9,27
Tatooine,0,20100928,2010,9,28
Tatooine,0,20100929,2010,9,29
Tatooine,0,20100930,2010,9,30
Tatooine,0,20101001,2010,10,1
Tatooine,0,20101002,2010,10,2
Tatooine,0.03,20101003,2010,10,3
Tatooine,0.07,20101004,2010,10,4
Tatooine,0,20101005,2010,10,5
Tatooine,0.02,20101006,2010,10,6
Tatooine,0.0,20101007,2010,10,7
Tatooine,0,20101008,2010,10,8
Tatooine,0,20101009,2010,10,9
Tatooine,0.05,20101010,2010,10,10
Tatooine,0.09,20101011,2010,10,11
Tatooine,0,20101012,2010,10,12
Tatooine,0,20101013,2010,10,13
Tatooine,0,20101014,2010,10,14
Tatooine,0.1,20101015,2010,10,15
Tatooine,0.04,20101016,2010,10,16
Tatooine,0,20101017,2010,10,17
Tatooine,0.03,20101018,2010,10,18
Tatooine,0.05,20101019,2010,10,19
Tatooine,0.09,20101020,2010,10,20
Tatooine,0,20101021,2010,10,21
Tatooine,0.02,20101022,2010,10,22
Tatooine,0.06,20101023,2010,10,23
Tatooine,0.04,20101024,2010,10,24
Tatooine,0,20101025,2010,10,25
Tatooine,0.08,20101026,2010,10,26
Tatooine,0.03,20101027,2010,10,27
Tatooine,0.08,20101028,2010,10,28
Tatooine,0.06,20101029,2010,10,29
Tatooine,0,20101030,2010,10,30
Tatooine,0.02,20101031,2010,10,31
Tatooine,0.09,20101101,2010,11,1
Tatooine,0,20101102,2010,11,2
Tatooine,0.03,20101103,2010,11,3
Tatooine,0.03,20101104,2010,11,4
Tatooine,0.03,20101105,2010,11,5
Tatooine,0.01,20101106,2010,11,6
Tatooine,0.01,20101107,2010,11,7
Tatooine,0,20101108,2010,11,8
Tatooine,0.06,20101109,2010,11,9
Tatooine,0.03,20101110,2010,11,10
Tatooine,0.06,20101111,2010,11,11
Tatooine,0.01,20101112,2010,11,12
Tatooine,0,20101113,2010,11,13
Tatooine,0,20101114,2010,11,14
Tatooine,0,20101115,2010,11,15
Tatooine,0.03,20101116,2010,11,16
Tatooine,0,20101117,2010,11,17
Tatooine,0.05,20101118,2010,11,18
Tatooine,0.04,20101119,2010,11,19
Tatooine,0.09,20101120,2010,11,20
Tatooine,0.05,20101121,2010,11,21
Tatooine,0.08,20101122,2010,11,22
Tatooine,0.07,20101123,2010,11,23
Tatooine,0.07,20101124,2010,11,24
Tatooine,0.06,20101125,2010,11,25
Tatooine,0,20101126,2010,11,26
Tatooine,0.01,20101127,2010,11,27
Tatooine,0,20101128,2010,11,28
Tatooine,0.06,20101129,2010,11,29
Tatooine,0.08,20101130,2010,11,30
Tatooine,0.03,20101201,2010,12,1
Tatooine,0.02,20101202,2010,12,2
Tatooine,0.07,20101203,2010,12,3
Tatooine,0.01,20101204,2010,12,4
Tatooine,0.03,20101205,2010,12,5
Tatooine,0,20101206,2010,12,6
Tatooine,0,20101207,2010,12,7
Tatooine,0,20101208,2010,12,8
Tatooine,0.06,20101209,2010,12,9
Tatooine,0.08,20101210,2010,12,10
Tatooine,0,20101211,2010,12,11
Tatooine,0.1,20101212,2010,12,12
Tatooine,0.06,20101213,2010,12,13
Tatooine,0,20101214,2010,12,14
Tatooine,0.08,20101215,2010,12,15
Tatooine,0.07,20101216,2010,12,16
Tatooine,0.02,20101217,2010,12,17
Tatooine,0.07,20101218,2010,12,18
Tatooine,0.03,20101219,2010,12,19
Tatooine,0,20101220,2010,12,20
Tatooine,0.08,20101221,2010,12,21
Tatooine,0,20101222,2010,12,22
Tatooine,0.01,20101223,2010,12,23
Tatooine,0.03,20101224,2010,12,24
Tatooine,0.02,20101225,2010,12,25
Tatooine,0.0,20101226,2010,12,26
Tatooine,0.08,20101227,2010,12,27
Tatooine,0,20101228,2010,12,28
Tatooine,0,20101229,2010,12,29
Tatooine,0.04,20101230,2010,12,30
Tatooine,0.01,20101231,2010,12,31
Tatooine,0,20110101,2011,1,1
Tatooine,0,20110102,2011,1,2
Tatooine,0,20110103,2011,1,3
Tatooine,0.39,20110104,2011,1,4
Tatooine,0,20110105,2011,1,5
Tatooine,0.25,20110106,2011,1,6
Tatooine,0,20110107,2011,1,7
Tatooine,0.37,20110108,2011,1,8
Tatooine,0.31,20110109,2011,1,9
Tatooine,0.31,20110110,2011,1,10
Tatooine,0.29,20110111,2011,1,11
Tatooine,0,20110112,2011,1,12
Tatooine,0.28,20110113,2011,1,13
Tatooine,0,20110114,2011,1,14
Tatooine,0,20110115,2011,1,15
Tatooine,0.28,20110116,2011,1,16
Tatooine,0,20110117,2011,1,17
Tatooine,0.35,20110118,2011,1,18
Tatooine,0.33,20110119,2011,1,19
Tatooine,0.37,20110120,2011,1,20
Tatooine,0.2,20110121,2011,1,21
Tatooine,0.33,20110122,2011,1,22
Tatooine,0.25,20110123,2011,1,23
Tatooine,0,20110124,2011,1,24
Tatooine,0.39,20110125,2011,1,25
Tatooine,0.33,20110126,2011,1,26
Tatooine,0.27,20110127,2011,1,27
Tatooine,0.31,20110128,2011,1,28
Tatooine,0.32,20110129,2011,1,29
Tatooine,0,20110130,2011,1,30
Tatooine,0,20110131,2011,1,31
Tatooine,0.3,20110201,2011,2,1
Tatooine,0,20110202,2011,2,2
Tatooine,0.39,20110203,2011,2,3
Tatooine,0,20110204,2011,2,4
Tatooine,0,20110205,2011,2,5
Tatooine,0.37,20110206,2011,2,6
Tatooine,0,20110207,2011,2,7
Tatooine,0,20110208,2011,2,8
Tatooine,0.3,20110209,2011,2,9
Tatooine,0,20110210,2011,2,10
Tatooine,0.31,20110211,2011,2,11
Tatooine,0.36,20110212,2011,2,12
Tatooine,0.25,20110213,2011,2,13
Tatooine,0.27,20110214,2011,2,14
Tatooine,0.34,20110215,2011,2,15
Tatooine,0.24,20110216,2011,2,16
Tatooine,0.3,20110217,2011,2,17
Tatooine,0,20110218,2011,2,18
Tatooine,0.25,20110219,2011,2,19
Tatooine,0.39,20110220,2011,2,20
Tatooine,0.25,20110221,2011,2,21
Tatooine,0,20110222,2011,2,22
Tatooine,0.25,20110223,2011,2,23
Tatooine,0,20110224,2011,2,24
Tatooine,0.36,20110225,2011,2,25
Tatooine,0,20110226,2011,2,26
Tatooine,0.22,20110227,2011,2,27
Tatooine,0.35,20110228,2011,2,28
Tatooine,0,20110301,2011,3,1
Tatooine,0,20110302,2011,3,2
Tatooine,0,20110303,2011,3,3
Tatooine,0.31,20110304,2011,3,4
Tatooine,0,20110305,2011,3,5
Tatooine,0,20110306,2011,3,6
Tatooine,0,20110307,2011,3,7
Tatooine,0.3,20110308,2011,3,8
Tatooine,0.28,20110309,2011,3,9
Tatooine,0.22,20110310,2011,3,10
Tatooine,0.29,20110311,2011,3,11
Tatooine,0.3,20110312,2011,3,12
Tatooine,0.34,20110313,2011,3,13
Tatooine,0.39,20110314,2011,3,14
Tatooine,0,20110315,2011,3,15
Tatooine,0.24,20110316,2011,3,16
Tatooine,0,20110317,2011,3,17
Tatooine,0,20110318,2011,3,18
Tatooine,0.27,20110319,2011,3,19
Tatooine,0,20110320,2011,3,20
Tatooine,0,20110321,2011,3,21
Tatooine,0,20110322,2011,3,22
Tatooine,0.37,20110323,2011,3,23
Tatooine,0,20110324,2011,3,24
Tatooine,0.38,20110325,2011,3,25
Tatooine,0.39,20110326,2011,3,26
Tatooine,0.35,20110327,2011,3,27
Tatooine,0.27,20110328,2011,3,28
Tatooine,0.32,20110329,2011,3,29
Tatooine,0,20110330,2011,3,30
Tatooine,0.28,20110331,2011,3,31
Tatooine,0.32,20110401,2011,4,1
Tatooine,0.4,20110402,2011,4,2
Tatooine,0.3,20110403,2011,4,3
Tatooine,0,20110404,2011,4,4
Tatooine,0.27,20110405,2011,4,5
Tatooine,0,20110406,2011,4,6
Tatooine,0.25,20110407,2011,4,7
Tatooine,0.36,20110408,2011,4,8
Tatooine,0.38,20110409,2011,4,9
Tatooine,0,20110410,2011,4,10
Tatooine,0.22,20110411,2011,4,11
Tatooine,0.22,20110412,2011,4,12
Tatooine,0,20110413,2011,4,13
Tatooine,0,20110414,2011,4,14
Tatooine,0.23,20110415,2011,4,15
Tatooine,0,20110416,2011,4,16
Tatooine,0,20110417,2011,4,17
Tatooine,0.24,20110418,2011,4,18
Tatooine,0.22,20110419,2011,4,19
Tatooine,0.25,20110420,2011,4,20
Tatooine,0.36,20110421,2011,4,21
Tatooine,0,20110422,2011,4,22
Tatooine,0,20110423,2011,4,23
Tatooine,0.27,20110424,2011,4,24
Tatooine,0,20110425,2011,4,25
Tatooine,0.27,20110426,2011,4,26
Tatooine,0,20110427,2011,4,27
Tatooine,0,20110428,2011,4,28
Tatooine,0,20110429,2011,4,29
Tatooine,0.4,20110430,2011,4,30
Tatooine,0,20110501,2011,5,1
Tatooine,0,20110502,2011,5,2
Tatooine,0.38,20110503,2011,5,3
Tatooine,0,20110504,2011,5,4
Tatooine,0,20110505,2011,5,5
Tatooine,0,20110506,2011,5,6
Tatooine,0.35,20110507,2011,5,7
Tatooine,0.22,20110508,2011,5,8
Tatooine,0,20110509,2011,5,9
Tatooine,0.36,20110510,2011,5,10
Tatooine,0,20110511,2011,5,11
Tatooine,0.23,20110512,2011,5,12
Tatooine,0,20110513,2011,5,13
Tatooine,0,20110514,2011,5,14
Tatooine,0.26,20110515,2011,5,15
Tatooine,0,20110516,2011,5,16
Tatooine,0.3,20110517,2011,5,17
Tatooine,0.24,20110518,2011,5,18
Tatooine,0,20110519,2011,5,19
Tatooine,0,20110520,2011,5,20
Tatooine,0.32,20110521,2011,5,21
Tatooine,0.22,20110522,2011,5,22
Tatooine,0,20110523,2011,5,23
Tatooine,0.33,20110524,2011,5,24
Tatooine,0.31,20110525,2011,5,25
Tatooine,0,20110526,2011,5,26
Tatooine,0.28,20110527,2011,5,27
Tatooine,0,20110528,2011,5,28
Tatooine,0.31,20110529,2011,5,29
Tatooine,0.23,20110530,2011,5,30
Tatooine,0.23,20110531,2011,5,31
Tatooine,0.08,20110601,2011,6,1
Tatooine,0.04,20110602,2011,6,2
Tatooine,0,20110603,2011,6,3
Tatooine,0.0,20110604,2011,6,4
Tatooine,0,20110605,2011,6,5
Tatooine,0,20110606,2011,6,6
Tatooine,0.01,20110607,2011,6,7
Tatooine,0.08,20110608,2011,6,8
Tatooine,0.06,20110609,2011,6,9
Tatooine,0,20110610,2011,6,10
Tatooine,0,20110611,2011,6,11
Tatooine,0,20110612,2011,6,12
Tatooine,0.08,20110613,2011,6,13
Tatooine,0,20110614,2011,6,14
Tatooine,0.07,20110615,2011,6,15
Tatooine,0,20110616,2011,6,16
Tatooine,0.09,20110617,2011,6,17
Tatooine,0.1,20110618,2011,6,18
Tatooine,0.02,20110619,2011,6,19
Tatooine,0,20110620,2011,6,20
Tatooine,0.05,20110621,2011,6,21
Tatooine,0.08,20110622,2011,6,22
Tatooine,0.06,20110623,2011,6,23
Tatooine,0,20110624,2011,6,24
Tatooine,0,20110625,2011,6,25
Tatooine,0.09,20110626,2011,6,26
Tatooine,0,20110627,2011,6,27
Tatooine,0,20110628,2011,6,28
Tatooine,0.01,20110629,2011,6,29
Tatooine,0,20110630,2011,6,30
Tatooine,0.08,20110701,2011,7,1
Tatooine,0.07,20110702,2011,7,2
Tatooine,0.08,20110703,2011,7,3
Tatooine,0.07,20110704,2011,7,4
Tatooine,0.01,20110705,2011,7,5
Tatooine,0.03,20110706,2011,7,6
Tatooine,0.1,20110707,2011,7,7
Tatooine,0,20110708,2011,7,8
Tatooine,0,20110709,2011,7,9
Tatooine,0.06,20110710,2011,7,10
Tatooine,0.05,20110711,2011,7,11
Tatooine,0,20110712,2011,7,12
Tatooine,0.07,20110713,2011,7,13
Tatooine,0,20110714,2011,7,14
Tatooine,0.05,20110715,2011,7,15
Tatooine,0.05,20110716,2011,7,16
Tatooine,0,20110717,2011,7,17
Tatooine,0.07,20110718,2011,7,18
Tatooine,0,20110719,2011,7,19
Tatooine,0.09,20110720,2011,7,20
Tatooine,0.09,20110721,2011,7,21
Tatooine,0,20110722,2011,7,22
Tatooine,0.1,20110723,2011,7,23
Tatooine,0.1,20110724,2011,7,24
Tatooine,0.01,20110725,2011,7,25
Tatooine,0.03,20110726,2011,7,26
Tatooine,0,20110727,2011,7,27
Tatooine,0.0,20110728,2011,7,28
Tatooine,0.09,20110729,2011,7,29
Tatooine,0.05,20110730,2011,7,30
Tatooine,0,20110731,2011,7,31
Tatooine,0.06,20110801,2011,8,1
Tatooine,0,20110802,2011,8,2
Tatooine,0.03,20110803,2011,8,3
Tatooine,0,20110804,2011,8,4
Tatooine,0,20110805,2011,8,5
Tatooine,0,20110806,2011,8,6
Tatooine,0,20110807,2011,8,7
Tatooine,0.04,20110808,2011,8,8
Tatooine,0.08,20110809,2011,8,9
Tatooine,0.01,20110810,2011,8,10
Tatooine,0.04,20110811,2011,8,11
Tatooine,0,20110812,2011,8,12
Tatooine,0,20110813,2011,8,13
Tatooine,0.07,20110814,2011,8,14
Tatooine,0,20110815,2011,8,15
Tatooine,0.05,20110816,2011,8,16
Tatooine,0,20110817,2011,8,17
Tatooine,0.06,20110818,2011,8,18
Tatooine,0,20110819,2011,8,19
Tatooine,0,20110820,2011,8,20
Tatooine,0.08,20110821,2011,8,21
Tatooine,0.06,20110822,2011,8,22
Tatooine,0.07,20110823,2011,8,23
Tatooine,0.0,20110824,2011,8,24
Tatooine,0,20110825,2011,8,25
Tatooine,0.01,20110826,2011,8,26
Tatooine,0,20110827,2011,8,27
Tatooine,0,20110828,2011,8,28
Tatooine,0.04,20110829,2011,8,29
Tatooine,0.01,20110830,2011,8,30
Tatooine,0.02,20110831,2011,8,31
Tatooine,0,20110901,2011,9,1
Tatooine,0,20110902,2011,9,2
Tatooine,0.01,20110903,2011,9,3
Tatooine,0.07,20110904,2011,9,4
Tatooine,0,20110905,2011,9,5
Tatooine,0,20110906,2011,9,6
Tatooine,0,20110907,2011,9,7
Tatooine,0.05,20110908,2011,9,8
Tatooine,0,20110909,2011,9,9
Tatooine,0.05,20110910,2011,9,10
Tatooine,0.08,20110911,2011,9,11
Tatooine,0,20110912,2011,9,12
Tatooine,0.1,20110913,2011,9,13
Tatooine,0.06,20110914,2011,9,14
Tatooine,0.09,20110915,2011,9,15
Tatooine,0.09,20110916,2011,9,16
Tatooine,0.02,20110917,2011,9,17
Tatooine,0.0,20110918,2011,9,18
Tatooine,0.08,20110919,2011,9,19
Tatooine,0.08,20110920,2011,9,20
Tatooine,0.07,20110921,2011,9,21
Tatooine,0,20110922,2011,9,22
Tatooine,0.05,20110923,2011,9,23
Tatooine,0.1,20110924,2011,9,24
Tatooine,0.03,20110925,2011,9,25
Tatooine,0.1,20110926,2011,9,26
Tatooine,0,20110927,2011,9,27
Tatooine,0.03,20110928,2011,9,28
Tatooine,0,20110929,2011,9,29
Tatooine,0,20110930,2011,9,30
Tatooine,0.09,20111001,2011,10,1
Tatooine,0.01,20111002,2011,10,2
Tatooine,0.05,20111003,2011,10,3
Tatooine,0.01,20111004,2011,10,4
Tatooine,0.05,20111005,2011,10,5
Tatooine,0,20111006,2011,10,6
Tatooine,0.07,20111007,2011,10,7
Tatooine,0.02,20111008,2011,10,8
Tatooine,0.01,20111009,2011,10,9
Tatooine,0.04,20111010,2011,10,10
Tatooine,0.07,20111011,2011,10,11
Tatooine,0,20111012,2011,10,12
Tatooine,0,20111013,2011,10,13
Tatooine,0.05,20111014,2011,10,14
Tatooine,0.04,20111015,2011,10,15
Tatooine,0,20111016,2011,10,16
Tatooine,0.06,20111017,2011,10,17
Tatooine,0,20111018,2011,10,18
Tatooine,0,20111019,2011,10,19
Tatooine,0.1,20111020,2011,10,20
Tatooine,0,20111021,2011,10,21
Tatooine,0,20111022,2011,10,22
Tatooine,0,20111023,2011,10,23
Tatooine,0,20111024,2011,10,24
Tatooine,0,20111025,2011,10,25
Tatooine,0.09,20111026,2011,10,26
Tatooine,0,20111027,2011,10,27
Tatooine,0.01,20111028,2011,10,28
Tatooine,0,20111029,2011,10,29
Tatooine,0.09,20111030,2011,10,30
Tatooine,0,20111031,2011,10,31
Tatooine,0.08,20111101,2011,11,1
Tatooine,0.03,20111102,2011,11,2
Tatooine,0.05,20111103,2011,11,3
Tatooine,0.09,20111104,2011,11,4
Tatooine,0.02,20111105,2011,11,5
Tatooine,0.01,20111106,2011,11,6
Tatooine,0.09,20111107,2011,11,7
Tatooine,0,20111108,2011,11,8
Tatooine,0.02,20111109,2011,11,9
Tatooine,0,20111110,2011,11,10
Tatooine,0,20111111,2011,11,11
Tatooine,0.05,20111112,2011,11,12
Tatooine,0,20111113,2011,11,13
Tatooine,0.05,20111114,2011,11,14
Tatooine,0.09,20111115,2011,11,15
Tatooine,0.05,20111116,2011,11,16
Tatooine,0,20111117,2011,11,17
Tatooine,0,20111118,2011,11,18
Tatooine,0,20111119,2011,11,19
